review,sentiment,clean_review
"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",1,stirring funny finally transporting reimagining beauty beast horror film
apparently reassembled from the cutting-room floor of any given daytime soap .,1,apparently reassembled cuttingroom floor given daytime soap
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",1,presume audience wo nt sit still sociology lesson however entertainingly presented trot conventional sciencefiction element bugeyed monster futuristic woman skimpy clothes
"this is a visually stunning rumination on love , memory , history and the war between art and commerce .",1,visually stunning rumination love memory history war art commerce
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,1,jonathan parker bartleby beallendall modernoffice anomie film
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,1,campanella get tone right funny middle sad middle hopeful
a fan film that for the uninitiated plays better on video with the sound turned down .,1,fan film uninitiated play better video sound turned
"béart and berling are both superb , while huppert ... is magnificent .",1,bart berling superb huppert magnificent
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",0,little less extreme past longer exposition sequence fewer gag break tedium
the film is strictly routine .,1,film strictly routine
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,1,lyrical metaphor cultural personal selfdiscovery picaresque view littleremembered world
the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .,0,repugnant adaptation classic text since roland joff demi moore scarlet letter
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .",1,something splendidlooking particular film viewer expects something special instead get lrb scifi rrb rehash
"this is a stunning film , a one-of-a-kind tour de force .",1,stunning film oneofakind tour de force
"may be more genial than ingenious , but it gets the job done .",1,may genial ingenious get job done
"there is a freedom to watching stunts that are this crude , this fast-paced and this insane .",1,freedom watching stunt crude fastpaced insane
"if the tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .",1,tuxedo actually suit would fit chan like bargainbasement special
"as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .",1,quiet patient tenacious mr lopez approach difficult endless work remarkable serenity discipline
final verdict : you 've seen it all before .,1,final verdict seen
"blue crush follows the formula , but throws in too many conflicts to keep the story compelling .",1,blue crush follows formula throw many conflict keep story compelling
you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone .,0,get sense good intention derailed failure seek strike right tone
"a slick , engrossing melodrama .",1,slick engrossing melodrama
a wretched movie that reduces the second world war to one man 's quest to find an old flame .,0,wretched movie reduces second world war one man quest find old flame
"will undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution , but american audiences will probably find it familiar and insufficiently cathartic .",0,undoubtedly play well european market mr besson brand name asia m shu institution american audience probably find familiar insufficiently cathartic
lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .,0,lack inspiration original bloated plot stretch running time minute past child interest adult patience
the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .,1,santa clause prof streamlined thought encounter original could ever hoped
"the film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller .",1,film moody oozing chilling heartwarming twisting unpredictable catandmouse thriller
too bad .,0,bad
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .",1,strong first act absolutely inescapably gorgeous skyscrapertrapeze motion amazing spiderman
gooding offers a desperately ingratiating performance .,1,gooding offer desperately ingratiating performance
a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .,1,wellintentioned effort still burdened actor offbeat sensibility earnest emotional core emerge degree accessibility
a fun ride .,1,fun ride
an edgy thriller that delivers a surprising punch .,1,edgy thriller delivers surprising punch
` what 's the russian word for wow !? ',1,russian word wow
otto-sallies has a real filmmaker 's eye .,1,ottosallies real filmmaker eye
lurid and less than lucid work .,1,lurid less lucid work
with its parade of almost perpetually wasted characters ... margarita feels like a hazy high that takes too long to shake .,1,parade almost perpetually wasted character margarita feel like hazy high take long shake
"i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay .",1,could feel screenwriter every moment tap tap tap tap tapping away screenplay
"overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone .",1,overall cletis tout winning comedy excites imagination tickle funny bone
you live the mood rather than savour the story .,1,live mood rather savour story
the movie is so thoughtlessly assembled .,1,movie thoughtlessly assembled
"some body is a shaky , uncertain film that nevertheless touches a few raw nerves .",1,body shaky uncertain film nevertheless touch raw nerve
